,day,price
0,2013-01-01,3794
1,2013-02-01,3863
2,2013-03-01,5190
3,2013-04-01,5783
4,2013-05-01,6298
5,2013-06-01,6739
6,2013-07-01,7107
7,2013-08-01,6492
8,2013-09-01,5693
9,2013-10-01,5497
10,2013-11-01,5958
11,2013-12-01,4309
12,2014-01-01,4323
13,2014-02-01,4391
14,2014-03-01,5860
15,2014-04-01,6552
16,2014-05-01,7370
17,2014-06-01,7888
18,2014-07-01,8330
19,2014-08-01,7401
20,2014-09-01,6599
21,2014-10-01,6411
22,2014-11-01,6742
23,2014-12-01,4910
24,2015-01-01,4626
25,2015-02-01,4633
26,2015-03-01,6121
27,2015-04-01,7060
28,2015-05-01,7758
29,2015-06-01,7992
30,2015-07-01,8838
31,2015-08-01,7770
32,2015-09-01,7011
33,2015-10-01,6644
34,2015-11-01,7102
35,2015-12-01,4952
36,2016-01-01,5008
37,2016-02-01,5160
38,2016-03-01,6624
39,2016-04-01,7697
40,2016-05-01,8240
41,2016-06-01,8851
42,2016-07-01,9758
43,2016-08-01,8176
44,2016-09-01,7467
45,2016-10-01,7231
46,2016-11-01,7334
47,2016-12-01,5678
48,2017-01-01,5236
49,2017-02-01,5299
50,2017-03-01,6744
51,2017-04-01,7927
52,2017-05-01,8561
53,2017-06-01,8930
54,2017-07-01,9960
55,2017-08-01,8548
56,2017-09-01,7843
57,2017-10-01,7620
58,2017-11-01,7676
59,2017-12-01,5809
